,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Xie-Beni,Solving Time,Iterations
51,GS-FCM_k6_m1.5_eta0.1,0.15372006167635033,0.784427966101695,0.4661147667581026,0.7770683789734195,0.36973566997406804,1627.2717030242266,0.17068227908579128,0.6167998313903809,79
52,GS-FCM_k6_m1.5_eta0.5,0.15375265279582176,0.7807203389830508,0.4612668924393168,0.7768302919589211,0.36958103526617864,1626.1371889581185,0.1910823199635988,0.2391362190246582,30
53,GS-FCM_k6_m1.5_eta0.9,0.15139063758108995,0.7801906779661016,0.46952149010964256,0.7764692942650727,0.3693375904771169,1626.371732847651,0.19967306209951338,0.2775299549102783,37
54,GS-FCM_k6_m1.75_eta0.1,0.15254956235979172,0.7828389830508474,0.4600534874116304,0.7806775988468365,0.3698483462441614,1625.7540242193954,0.14054256450282465,1.9233572483062744,248
55,GS-FCM_k6_m1.75_eta0.5,0.15100533146937237,0.7791313559322034,0.469329481863199,0.77800692119354,0.36980404284691404,1626.0963813341334,0.1678080613323836,0.18637824058532715,24
56,GS-FCM_k6_m1.75_eta0.9,0.14988565227035433,0.7796610169491526,0.4694255315724242,0.7765933853915024,0.36949479848642525,1626.9617524530447,0.19886714466235736,0.15296363830566406,20
57,GS-FCM_k6_m2_eta0.1,0.1557023712729792,0.7886652542372882,0.464755839067355,0.7813199945256222,0.36956117210882505,1625.9855201595924,0.10931671682631218,0.5329902172088623,69
58,GS-FCM_k6_m2_eta0.5,0.15093560290783817,0.7833686440677966,0.46488067893324303,0.7797290115356225,0.37007865025707215,1625.782508984004,0.13357293464269976,0.18617939949035645,24
59,GS-FCM_k6_m2_eta0.9,0.15269125029522754,0.784427966101695,0.4676826451923849,0.7764692942650724,0.3693375904771581,1626.3717328476512,0.1952933972573479,0.29759955406188965,41
60,GS-FCM_k7_m1.05_eta0.1,0.11977133870832762,0.7563559322033898,0.42392530071077095,0.7524640868534299,0.36769624904768244,1724.3855567644196,0.1621833088140725,0.21785378456115723,25
61,GS-FCM_k7_m1.05_eta0.5,0.11797874337539918,0.7664194915254238,0.42216396628841574,0.7506400819443791,0.36762470366949845,1723.1720016378692,0.16183168940121,0.2390141487121582,29
62,GS-FCM_k7_m1.05_eta0.9,0.14375464926183806,0.8045550847457628,0.4138835937176247,0.7521715447410039,0.3673741755971106,1723.2092673118054,0.1618004843987758,0.15825676918029785,18
63,GS-FCM_k7_m1.5_eta0.1,0.11873239570854784,0.7563559322033898,0.4217257318952234,0.7499230867564933,0.3679525781557316,1724.1267525688245,0.13704246194499886,1.0958044528961182,132
64,GS-FCM_k7_m1.5_eta0.5,0.13876662018681732,0.8045550847457628,0.4032698402080389,0.7506400819443796,0.36762470366949845,1723.1720016378702,0.15605511595538923,0.47577857971191406,58
65,GS-FCM_k7_m1.5_eta0.9,0.11797874337539918,0.7664194915254238,0.42216396628841574,0.7506400819443791,0.36762470366949845,1723.1720016378692,0.16181996993847558,0.37623047828674316,46
66,GS-FCM_k7_m1.75_eta0.1,0.1431470881607964,0.805614406779661,0.41167960875084003,0.74823618216039,0.3682335793423847,1723.6422921798573,0.11136578137951854,1.3664531707763672,163
67,GS-FCM_k7_m1.75_eta0.5,0.13819718830307567,0.8040254237288136,0.4020127118644068,0.7497516526677716,0.36774635620467383,1723.0720243909109,0.13647420426563414,0.37058353424072266,43
68,GS-FCM_k7_m1.75_eta0.9,0.12012403188838472,0.756885593220339,0.424557175653302,0.7523761605265935,0.36770638235050007,1724.3906394550868,0.1617255538309144,0.21013426780700684,23
69,GS-FCM_k7_m2_eta0.1,0.1186964916113971,0.763771186440678,0.4228703058327525,0.7502380671884845,0.3680210187896026,1724.0721986531912,0.08450902502611471,0.9883215427398682,103
70,GS-FCM_k7_m2_eta0.5,0.1403548965679259,0.8003177966101694,0.413320727557142,0.7486499640204345,0.36804855901077216,1722.3957779215132,0.10749532287442155,0.4087047576904297,47
71,GS-FCM_k7_m2_eta0.9,0.13876662018681732,0.8045550847457628,0.4032698402080389,0.7506400819443796,0.36762470366949845,1723.1720016378695,0.15816896962737362,0.2030341625213623,27
72,GS-FCM_k8_m1.05_eta0.1,0.11524985822360298,0.7823093220338984,0.3709503913363217,0.7840479927015032,0.35456517256657466,1740.0969327657144,0.18625512220266807,0.3278007507324219,38
73,GS-FCM_k8_m1.05_eta0.5,0.11446586173894265,0.7807203389830508,0.38054608621544295,0.7840479927015047,0.35456517256657466,1740.0969327657126,0.18630010429983573,0.4200901985168457,44
74,GS-FCM_k8_m1.05_eta0.9,0.11631355410328076,0.7876059322033898,0.38378763125678916,0.7833717624461625,0.35571672985432373,1744.7980750544536,0.18460003026300992,0.16005730628967285,17
75,GS-FCM_k8_m1.5_eta0.1,0.11461212070164256,0.7860169491525424,0.38420380406641585,0.7789537400398332,0.3560263201864751,1744.3705960668588,0.15471609387855925,0.7066962718963623,74
76,GS-FCM_k8_m1.5_eta0.5,0.1147310696495291,0.7854872881355932,0.38353558717324077,0.7804085555581626,0.3558931911522867,1744.912507061591,0.17599324032415686,0.3218059539794922,33
77,GS-FCM_k8_m1.5_eta0.9,0.1159171846143811,0.791843220338983,0.3757215280179869,0.7801948337108151,0.3558966189117631,1744.8946362925199,0.18291539426989356,0.23388171195983887,26
78,GS-FCM_k8_m1.75_eta0.1,0.1134822863564266,0.784427966101695,0.380377346222203,0.7767651109864839,0.3561476833947649,1743.8819381826684,0.1241008124877877,1.0826823711395264,101
79,GS-FCM_k8_m1.75_eta0.5,0.115518515126729,0.7913135593220338,0.377507386098585,0.7808957311221871,0.3556004850173981,1743.0564689575092,0.15465220711718178,0.2368936538696289,28
80,GS-FCM_k8_m1.75_eta0.9,0.11488717761476382,0.7870762711864406,0.38251185059188203,0.7797521422961727,0.3559085541086909,1744.8415418520806,0.1819601926850686,0.3631153106689453,30
81,GS-FCM_k8_m2_eta0.1,0.1143368772479833,0.788135593220339,0.38081169336028614,0.7814223327300144,0.35499147321540336,1739.7681526838487,0.09297151228165337,1.3646652698516846,149
82,GS-FCM_k8_m2_eta0.5,0.11318570146253511,0.7817796610169492,0.36903884619433625,0.7791993244704765,0.3549926182504031,1739.8354735070616,0.11832596000311243,0.4669952392578125,53
83,GS-FCM_k8_m2_eta0.9,0.11488043839083778,0.7870762711864406,0.38251185059188203,0.7797521422961715,0.3559085541086956,1744.8415418520797,0.1780850629175823,0.21109676361083984,24
84,GS-FCM_k9_m1.05_eta0.1,0.10079519529852188,0.7648305084745762,0.3446661089692296,0.8068427449762918,0.3460043827542564,1744.8724326452877,0.19983642681850775,0.5968389511108398,63
85,GS-FCM_k9_m1.05_eta0.5,0.10079519529852188,0.7648305084745762,0.3446661089692296,0.8068427449762918,0.3460043827542564,1744.8724326452882,0.19987639475929458,0.3065495491027832,33
86,GS-FCM_k9_m1.05_eta0.9,0.10208015869486756,0.7902542372881356,0.34718282391319766,0.8068427449762926,0.3460043827542564,1744.8724326452877,0.19987639475930155,0.41254353523254395,44
87,GS-FCM_k9_m1.5_eta0.1,0.1002339817499335,0.7807203389830508,0.34753584710005003,0.7967119653957132,0.3471395858030866,1746.7908638397676,0.16410646197332782,0.5985722541809082,62
88,GS-FCM_k9_m1.5_eta0.5,0.10079519529852188,0.7648305084745762,0.3446661089692296,0.8068427449762917,0.3460043827542564,1744.872432645288,0.1917080665596703,0.33191466331481934,35
89,GS-FCM_k9_m1.5_eta0.9,0.10079519529852188,0.7648305084745762,0.3446661089692296,0.8068427449762917,0.3460043827542564,1744.872432645288,0.19985976519962773,0.3177487850189209,34
90,GS-FCM_k9_m1.75_eta0.1,0.12866162072798984,0.8522245762711864,0.38341895676169946,0.8279911168548746,0.3500680252879471,1682.090864005857,0.18527082982954,1.4942378997802734,158
91,GS-FCM_k9_m1.75_eta0.5,0.09968697772295089,0.7748940677966102,0.3463167755226888,0.7971338248996469,0.3471254570590121,1746.737295541016,0.16342376990161825,0.2869381904602051,31
92,GS-FCM_k9_m1.75_eta0.9,0.10208015869486756,0.7902542372881356,0.34718282391319766,0.8068427449762925,0.3460043827542564,1744.8724326452877,0.1991674274830118,0.4609713554382324,51
93,GS-FCM_k9_m2_eta0.1,0.09977563113052618,0.7796610169491526,0.34486593130660925,0.7967952710731567,0.34705229229139994,1746.4986161198058,0.09385665437679631,0.8289604187011719,91
94,GS-FCM_k9_m2_eta0.5,0.09995538265763959,0.7722457627118644,0.3454134401906103,0.7988317682249554,0.3469881811733453,1746.9130219358851,0.12327077921192077,0.5611176490783691,59
95,GS-FCM_k9_m2_eta0.9,0.10079519529852188,0.7648305084745762,0.3446661089692296,0.8068427449762918,0.3460043827542564,1744.8724326452882,0.19451451961084223,0.2948744297027588,30
96,GS-FCM_k10_m1.05_eta0.1,0.10640399104470899,0.829978813559322,0.3455798597134317,0.8192538775432329,0.3493420290331031,1651.5582585218083,0.25592895028611795,0.1914958953857422,17
97,GS-FCM_k10_m1.05_eta0.5,0.10819664676103984,0.8352754237288136,0.34068780533714355,0.8126742417670888,0.349410847724661,1651.1244796543003,0.23721257439496138,0.2384319305419922,24
98,GS-FCM_k10_m1.05_eta0.9,0.11182237373811861,0.836864406779661,0.3560947699999155,0.8152678230385029,0.3483446005537189,1651.184664209562,0.23315472197301484,0.39763617515563965,40
